Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jim Wallace,DEM Herb Ritchie,Totals
"District Judge, 263rd Judicial District",0699,568,414,982,2343,41.91%,643,277,920
"District Judge, 263rd Judicial District",0700,255,251,506,1371,36.91%,429,57,486
"District Judge, 263rd Judicial District",0701,56,43,99,588,16.84%,62,31,93
"District Judge, 263rd Judicial District",0702,54,70,134,539,24.86%,19,113,132
"District Judge, 263rd Judicial District",0703,372,490,862,1882,45.80%,625,198,823
"District Judge, 263rd Judicial District",0704,569,599,1168,3064,38.12%,964,159,1123
"District Judge, 263rd Judicial District",0705,114,113,227,1523,14.90%,34,185,219
"District Judge, 263rd Judicial District",0706,115,71,186,610,30.49%,90,83,173
"District Judge, 263rd Judicial District",0707,153,86,239,707,33.80%,153,74,227
"District Judge, 263rd Judicial District",0708,54,52,106,563,18.83%,50,50,100
"District Judge, 263rd Judicial District",0709,1375,947,2322,6848,33.91%,1416,838,2254
"District Judge, 263rd Judicial District",0710,371,462,833,2082,40.01%,457,317,774
"District Judge, 263rd Judicial District",0711,702,506,1208,3484,34.67%,732,409,1141
"District Judge, 263rd Judicial District",0712,491,463,954,3670,25.99%,414,520,934
"District Judge, 263rd Judicial District",0713,228,262,490,1907,25.69%,249,219,468
"District Judge, 263rd Judicial District",0714,35,19,55,296,18.58%,36,17,53
"District Judge, 263rd Judicial District",0715,176,187,363,1408,25.78%,206,137,343
"District Judge, 263rd Judicial District",0716,449,407,856,2680,31.94%,609,225,834
"District Judge, 263rd Judicial District",0717,373,250,623,2002,31.12%,76,533,609
"District Judge, 263rd Judicial District",0718,1017,806,1823,4229,43.11%,1263,455,1718
"District Judge, 263rd Judicial District",0719,247,137,384,1589,24.17%,235,132,367
"District Judge, 263rd Judicial District",0720,994,780,1774,4282,41.43%,1341,373,1714
"District Judge, 263rd Judicial District",0721,754,532,1286,2870,44.81%,843,382,1225
"District Judge, 263rd Judicial District",0722,871,494,1365,4479,30.48%,104,1219,1323
"District Judge, 263rd Judicial District",0723,401,202,603,1858,32.45%,135,450,585
"District Judge, 263rd Judicial District",0724,151,128,279,766,36.42%,202,62,264
"District Judge, 263rd Judicial District",0725,423,237,660,2237,29.50%,316,321,637
"District Judge, 263rd Judicial District",0726,592,402,994,2087,47.63%,875,97,972
"District Judge, 263rd Judicial District",0727,338,290,628,2488,25.24%,205,384,589
"District Judge, 263rd Judicial District",0728,209,151,360,880,40.91%,224,120,344
"District Judge, 263rd Judicial District",0729,136,59,195,464,42.03%,121,70,191
"District Judge, 263rd Judicial District",0730,428,359,787,1747,45.05%,505,235,740
"District Judge, 263rd Judicial District",0731,58,27,85,352,24.15%,25,58,83
"District Judge, 263rd Judicial District",0732,441,324,765,1924,39.76%,479,243,722
"District Judge, 263rd Judicial District",0733,13,7,20,215,9.30%,8,10,18
"District Judge, 263rd Judicial District",0734,1558,962,2520,7005,35.97%,1755,690,2445
"District Judge, 263rd Judicial District",0735,8,0,6,18,33.33%,6,0,6
"District Judge, 263rd Judicial District",0736,3,1,4,22,18.18%,0,3,3
"District Judge, 263rd Judicial District",0737,11,7,18,51,35.29%,13,5,18
"District Judge, 263rd Judicial District",0738,139,100,239,1361,17.56%,47,187,234
"District Judge, 263rd Judicial District",0739,353,301,654,2955,22.13%,341,285,626
"District Judge, 263rd Judicial District",0740,96,98,194,939,20.66%,132,55,187
"District Judge, 263rd Judicial District",0741,0,1,1,0,0.00%,0,1,1
"District Judge, 263rd Judicial District",0742,0,11,11,0,0.00%,6,5,11
"District Judge, 263rd Judicial District",0743,15,18,33,210,15.71%,19,12,31
"District Judge, 263rd Judicial District",0744,456,392,848,2027,41.84%,536,262,798
"District Judge, 263rd Judicial District",0745,683,372,1055,2494,42.30%,641,360,1001
"District Judge, 263rd Judicial District",0746,114,77,191,691,27.64%,93,95,188
"District Judge, 263rd Judicial District",0747,550,467,1017,3743,27.17%,506,480,986
"District Judge, 263rd Judicial District",0748,170,140,310,1403,22.10%,163,136,299
"District Judge, 263rd Judicial District",0749,30,17,47,377,12.47%,9,36,45
"District Judge, 263rd Judicial District",0750,111,96,207,767,26.99%,128,75,203
"District Judge, 263rd Judicial District",0751,925,964,1889,5084,37.16%,1276,538,1814
"District Judge, 263rd Judicial District",0752,286,200,486,1483,32.77%,370,95,465
"District Judge, 263rd Judicial District",0753,55,73,128,259,49.42%,80,42,122
"District Judge, 263rd Judicial District",0754,0,0,0,0,0.00%,0,0,0
"District Judge, 263rd Judicial District",0755,442,584,1026,4294,23.89%,461,522,983
"District Judge, 263rd Judicial District",0756,251,177,428,1600,26.75%,174,237,411
"District Judge, 263rd Judicial District",0757,520,508,1028,4035,25.48%,190,803,993
"District Judge, 263rd Judicial District",0758,1114,692,1806,4096,44.09%,1448,298,1746
"District Judge, 263rd Judicial District",0759,465,413,878,2730,32.16%,563,283,846
"District Judge, 263rd Judicial District",0760,1432,639,2071,4367,47.42%,1697,287,1984
"District Judge, 263rd Judicial District",0761,548,253,801,1550,51.68%,545,201,746
"District Judge, 263rd Judicial District",0762,0,0,0,0,0.00%,0,0,0
"District Judge, 263rd Judicial District",0763,108,146,254,1212,20.96%,104,138,242
"District Judge, 263rd Judicial District",0764,1133,774,1907,5217,36.55%,1218,630,1848
"District Judge, 263rd Judicial District",0765,647,426,1073,4055,26.46%,446,570,1016
"District Judge, 263rd Judicial District",0766,40,25,65,392,16.58%,17,42,59
"District Judge, 263rd Judicial District",0767,10,2,12,86,13.95%,6,6,12
"District Judge, 263rd Judicial District",0768,1359,1015,2374,5857,40.53%,1941,365,2306
"District Judge, 263rd Judicial District",0769,54,16,70,183,38.25%,3,66,69
"District Judge, 263rd Judicial District",0770,31,25,56,323,17.34%,28,26,54
"District Judge, 263rd Judicial District",0771,324,254,578,2426,23.83%,343,216,559
"District Judge, 263rd Judicial District",0772,1792,851,2643,5709,46.30%,2017,508,2525
"District Judge, 263rd Judicial District",0773,473,312,785,2918,26.90%,222,498,720
"District Judge, 263rd Judicial District",0774,30,41,71,378,18.78%,16,53,69
"District Judge, 263rd Judicial District",0775,18,3,21,92,22.83%,0,21,21
"District Judge, 263rd Judicial District",0776,551,496,1047,3053,34.29%,618,381,999
"District Judge, 263rd Judicial District",0777,46,40,86,652,13.19%,28,55,83
"District Judge, 263rd Judicial District",0778,0,0,0,0,0.00%,0,0,0
"District Judge, 263rd Judicial District",0779,64,51,115,940,12.23%,43,68,111
"District Judge, 263rd Judicial District",0780,63,59,122,595,20.50%,72,46,118
"District Judge, 263rd Judicial District",0781,666,273,939,3603,26.06%,428,411,839
"District Judge, 263rd Judicial District",0782,368,370,738,2236,33.01%,463,249,712
"District Judge, 263rd Judicial District",0783,49,13,62,294,21.09%,46,14,60
"District Judge, 263rd Judicial District",0784,208,128,336,1079,31.14%,9,313,322
"District Judge, 263rd Judicial District",0785,28,25,53,296,17.91%,29,24,53
"District Judge, 263rd Judicial District",0786,100,98,198,1251,15.83%,75,117,192
"District Judge, 263rd Judicial District",0787,46,52,98,488,20.08%,36,59,95
"District Judge, 263rd Judicial District",0788,74,32,106,454,23.35%,51,52,103
"District Judge, 263rd Judicial District",0789,0,3,3,3,100.00%,0,3,3
"District Judge, 263rd Judicial District",0790,0,0,0,3,0.00%,0,0,0
"District Judge, 263rd Judicial District",0791,0,0,0,0,0.00%,0,0,0
"District Judge, 263rd Judicial District",0792,269,239,508,1865,27.24%,127,356,483
"District Judge, 263rd Judicial District",0793,448,247,695,2484,27.98%,422,251,673
"District Judge, 263rd Judicial District",0794,124,144,268,2710,9.89%,36,226,262
"District Judge, 263rd Judicial District",0795,90,125,215,1217,17.67%,79,125,204
"District Judge, 263rd Judicial District",0796,83,51,134,476,28.15%,73,57,130
"District Judge, 263rd Judicial District",0797,0,0,0,0,0.00%,0,0,0
"District Judge, 263rd Judicial District",0798,99,111,210,500,42.00%,84,114,198
"District Judge, 263rd Judicial District",0799,28,15,43,161,26.71%,9,34,43
"District Judge, 263rd Judicial District",0800,588,642,1230,2932,41.95%,833,329,1162
"District Judge, 263rd Judicial District",0801,32,14,46,258,17.83%,15,27,42
"District Judge, 263rd Judicial District",0802,51,27,78,312,25.00%,15,62,77
"District Judge, 263rd Judicial District",0803,725,511,1236,2893,42.72%,910,283,1193
"District Judge, 263rd Judicial District",0804,932,591,1523,4768,31.94%,978,495,1473
"District Judge, 263rd Judicial District",0805,765,533,1298,2866,45.29%,1059,195,1254
"District Judge, 263rd Judicial District",0806,0,0,0,0,0.00%,0,0,0
"District Judge, 263rd Judicial District",0807,211,204,415,2028,20.46%,93,305,398
"District Judge, 263rd Judicial District",0808,12,17,29,131,22.14%,7,21,28
"District Judge, 263rd Judicial District",0809,7,6,13,92,14.13%,6,6,12
"District Judge, 263rd Judicial District",0810,9,16,25,211,11.85%,8,16,24
"District Judge, 263rd Judicial District",0811,29,50,79,270,29.26%,26,50,76
"District Judge, 263rd Judicial District",0812,0,0,0,0,0.00%,0,0,0
"District Judge, 263rd Judicial District",0813,938,761,1699,5807,29.26%,860,787,1647
"District Judge, 263rd Judicial District",0814,673,533,1206,5102,23.64%,318,854,1172
"District Judge, 263rd Judicial District",0815,0,0,0,0,0.00%,0,0,0
"District Judge, 263rd Judicial District",0816,10,0,10,73,13.70%,3,7,10
"District Judge, 263rd Judicial District",0817,0,0,0,0,0.00%,0,0,0
"District Judge, 263rd Judicial District",0818,86,39,125,616,20.29%,27,92,119
"District Judge, 263rd Judicial District",0819,64,30,94,240,39.17%,51,32,83
"District Judge, 263rd Judicial District",0820,0,0,0,0,0.00%,0,0,0
"District Judge, 263rd Judicial District",0821,124,120,244,1242,19.65%,34,200,234
"District Judge, 263rd Judicial District",0822,332,167,499,1535,32.51%,17,467,484
"District Judge, 263rd Judicial District",0823,821,564,1385,5087,27.23%,805,536,1341
"District Judge, 263rd Judicial District",0824,428,282,710,2700,26.30%,159,530,689
"District Judge, 263rd Judicial District",0825,0,0,0,0,0.00%,0,0,0
"District Judge, 263rd Judicial District",0826,73,50,123,358,34.36%,53,59,112
"District Judge, 263rd Judicial District",0827,60,98,158,979,16.14%,74,79,153
"District Judge, 263rd Judicial District",0828,541,388,929,1916,48.49%,737,150,887
"District Judge, 263rd Judicial District",0829,54,22,76,264,28.79%,20,54,74
"District Judge, 263rd Judicial District",0830,0,0,0,2,0.00%,0,0,0
"District Judge, 263rd Judicial District",0831,0,0,0,0,0.00%,0,0,0
"District Judge, 263rd Judicial District",0832,34,28,62,352,17.61%,18,40,58
"District Judge, 263rd Judicial District",0833,0,1,1,20,5.00%,0,1,1
"District Judge, 263rd Judicial District",0834,0,0,0,0,0.00%,0,0,0
"District Judge, 263rd Judicial District",0835,38,19,57,290,19.66%,13,38,51
"District Judge, 263rd Judicial District",0836,3,0,3,19,15.79%,1,2,3
"District Judge, 263rd Judicial District",0837,0,0,0,0,0.00%,0,0,0
"District Judge, 263rd Judicial District",0838,0,0,0,0,0.00%,0,0,0
"District Judge, 263rd Judicial District",0839,136,118,254,1128,22.52%,54,188,242
"District Judge, 263rd Judicial District",0840,381,174,555,1705,32.55%,196,343,539
"District Judge, 263rd Judicial District",0841,0,0,0,0,0.00%,0,0,0
"District Judge, 263rd Judicial District",0842,421,434,855,3259,26.24%,398,421,819
"District Judge, 263rd Judicial District",0843,0,1,1,0,0.00%,0,1,1
"District Judge, 263rd Judicial District",0844,1,0,1,11,9.09%,0,1,1
"District Judge, 263rd Judicial District",0845,54,9,63,134,47.01%,39,21,60
"District Judge, 263rd Judicial District",0846,23,24,47,229,20.52%,2,42,44
"District Judge, 263rd Judicial District",0847,305,211,516,2015,25.61%,142,354,496
"District Judge, 263rd Judicial District",0848,489,266,755,1856,40.68%,222,496,718
"District Judge, 263rd Judicial District",0849,201,291,492,2124,23.16%,197,277,474
"District Judge, 263rd Judicial District",0850,46,41,87,210,41.43%,33,52,85
"District Judge, 263rd Judicial District",0851,1029,657,1686,4709,35.80%,1148,467,1615
"District Judge, 263rd Judicial District",0852,0,0,0,1,0.00%,0,0,0
"District Judge, 263rd Judicial District",0853,575,620,1296,2882,44.97%,992,248,1240
"District Judge, 263rd Judicial District",0854,15,26,41,172,23.84%,9,30,39
"District Judge, 263rd Judicial District",0855,5,9,14,16,87.50%,5,8,13
"District Judge, 263rd Judicial District",0856,0,1,1,0,0.00%,0,1,1
"District Judge, 263rd Judicial District",0857,0,0,0,1,0.00%,0,0,0
"District Judge, 263rd Judicial District",0858,63,34,97,343,28.28%,3,90,93
"District Judge, 263rd Judicial District",0859,157,106,283,890,29.55%,70,185,255
"District Judge, 263rd Judicial District",0880,0,0,0,0,0.00%,0,0,0
"District Judge, 263rd Judicial District",0881,315,199,514,1842,27.90%,87,414,501
"District Judge, 263rd Judicial District",0882,0,0,0,0,0.00%,0,0,0
"District Judge, 263rd Judicial District",0883,101,54,155,584,28.54%,8,148,154
"District Judge, 263rd Judicial District",0884,193,299,492,2589,19.15%,145,323,488
"District Judge, 263rd Judicial District",0885,2,3,5,21,23.81%,0,5,5
"District Judge, 263rd Judicial District",0888,0,0,0,0,0.00%,0,0,0
"District Judge, 263rd Judicial District",0887,0,0,0,0,0.00%,0,0,0
"District Judge, 263rd Judicial District",0888,238,271,507,2328,21.80%,188,318,484
"District Judge, 263rd Judicial District",0889,53,39,92,470,19.57%,22,89,91
"District Judge, 263rd Judicial District",0870,0,0,0,0,0.00%,0,0,0
"District Judge, 263rd Judicial District",0871,1,0,1,3,33.33%,0,1,1
"District Judge, 263rd Judicial District",0872,5,3,8,59,13.58%,4,4,8
"District Judge, 263rd Judicial District",0873,98,75,173,737,23.47%,44,125,189
"District Judge, 263rd Judicial District",0874,783,707,1470,3223,45.81%,1102,310,1412
"District Judge, 263rd Judicial District",0875,904,527,1431,5147,27.80%,703,879,1382
"District Judge, 263rd Judicial District",0878,898,841,1339,3285,41.01%,1030,289,1299
"District Judge, 263rd Judicial District",0877,478,382,858,3032,28.30%,354,483,837
"District Judge, 263rd Judicial District",0878,427,354,781,1888,48.88%,848,114,782
"District Judge, 263rd Judicial District",0879,407,294,701,2887,28.28%,383,307,870
"District Judge, 263rd Judicial District",0880,543,447,990,2352,42.09%,793,188,959
"District Judge, 263rd Judicial District",0881,593,540,1133,4479,25.30%,405,700,1105
"District Judge, 263rd Judicial District",0882,428,291,717,2422,29.80%,434,259,893
"District Judge, 263rd Judicial District",0883,843,702,1345,5408,24.87%,254,1047,1301
"District Judge, 263rd Judicial District",0884,57,25,82,377,21.75%,9,70,79
"District Judge, 263rd Judicial District",0885,562,388,930,2819,35.51%,555,354,909
"District Judge, 263rd Judicial District",0888,128,108,238,875,34.98%,129,95,224
"District Judge, 263rd Judicial District",0887,50,87,117,418,27.99%,53,53,108
"District Judge, 263rd Judicial District",0888,0,3,3,0,0.00%,2,1,3
"District Judge, 263rd Judicial District",0889,14,0,14,57,24.58%,5,8,13
"District Judge, 263rd Judicial District",0890,184,103,287,1095,24.38%,82,183,245
"District Judge, 263rd Judicial District",0891,317,243,580,1331,42.07%,194,330,524
"District Judge, 263rd Judicial District",0892,115,86,201,808,24.88%,72,117,189
"District Judge, 263rd Judicial District",0893,0,2,2,6,33.33%,0,2,2
"District Judge, 263rd Judicial District",0894,0,3,3,0,0.00%,2,1,3
"District Judge, 263rd Judicial District",0895,156,286,442,793,55.74%,158,237,395
"District Judge, 263rd Judicial District",0896,370,297,667,1459,45.72%,231,392,623
"District Judge, 263rd Judicial District",0897,252,297,549,1701,32.28%,322,206,528
"District Judge, 263rd Judicial District",0898,0,0,0,3,0.00%,0,0,0
"District Judge, 263rd Judicial District",0899,2,0,2,8,25.00%,0,2,2
"District Judge, 263rd Judicial District",0900,0,2,2,10,20.00%,1,1,2
"District Judge, 263rd Judicial District",0901,0,0,0,0,0.00%,0,0,0
"District Judge, 263rd Judicial District",0902,394,486,880,2139,41.14%,474,353,827
"District Judge, 263rd Judicial District",0903,3,7,10,50,20.00%,2,7,9
"District Judge, 263rd Judicial District",0904,1,0,1,7,14.29%,1,0,1
"District Judge, 263rd Judicial District",0905,123,100,223,904,24.67%,104,105,209
"District Judge, 263rd Judicial District",0906,8,6,14,25,56.00%,7,5,12
"District Judge, 263rd Judicial District",0907,12,19,31,181,17.13%,6,25,31
"District Judge, 263rd Judicial District",0908,0,1,1,0,0.00%,0,1,1
"District Judge, 263rd Judicial District",0909,2,1,3,18,16.67%,0,3,3
"District Judge, 263rd Judicial District",0910,25,24,49,217,22.58%,20,25,45
"District Judge, 263rd Judicial District",0911,118,60,178,551,32.30%,120,51,171
"District Judge, 263rd Judicial District",0912,316,201,517,1273,40.61%,338,152,490
"District Judge, 263rd Judicial District",0913,0,0,0,0,0.00%,0,0,0
"District Judge, 263rd Judicial District",0914,169,179,348,701,49.64%,279,56,335
"District Judge, 263rd Judicial District",0915,0,0,0,0,0.00%,0,0,0
"District Judge, 263rd Judicial District",0916,417,240,657,1491,44.06%,525,111,636
"District Judge, 263rd Judicial District",0917,177,62,239,483,49.48%,157,67,224
"District Judge, 263rd Judicial District",0918,304,168,472,883,53.45%,351,99,450
"District Judge, 263rd Judicial District",0919,0,0,0,3,0.00%,0,0,0
"District Judge, 263rd Judicial District",0920,22,12,34,71,47.89%,23,10,33
"District Judge, 263rd Judicial District",0921,32,15,47,119,39.50%,33,13,46
"District Judge, 263rd Judicial District",0922,0,0,0,0,0.00%,0,0,0
"District Judge, 263rd Judicial District",0923,470,137,607,1511,40.17%,453,135,588
"District Judge, 263rd Judicial District",0924,0,0,0,0,0.00%,0,0,0
"District Judge, 263rd Judicial District",0925,0,0,0,0,0.00%,0,0,0
"District Judge, 263rd Judicial District",0926,171,128,299,796,37.56%,226,62,288
"District Judge, 263rd Judicial District",0927,44,30,74,270,27.41%,29,38,67
"District Judge, 263rd Judicial District",0928,3,0,3,8,37.50%,0,3,3
"District Judge, 263rd Judicial District",0929,0,0,0,0,0.00%,0,0,0
"District Judge, 263rd Judicial District",0930,109,54,163,584,27.91%,6,153,159
"District Judge, 263rd Judicial District",0931,30,40,70,130,53.85%,30,31,61
"District Judge, 263rd Judicial District",0932,0,0,0,0,0.00%,0,0,0
"District Judge, 263rd Judicial District",0933,115,85,200,627,31.90%,57,138,195
"District Judge, 263rd Judicial District",0934,2,0,2,63,3.17%,1,1,2
"District Judge, 263rd Judicial District",0935,3,2,5,54,9.26%,2,1,3
"District Judge, 263rd Judicial District",0936,s,2,10,81,12.35%,3,6,9
"District Judge, 263rd Judicial District",0937,0,0,0,0,0.00%,0,0,0
"District Judge, 263rd Judicial District",0938,30,14,44,231,19.05%,13,29,42
"District Judge, 263rd Judicial District",0939,0,0,0,2,0.00%,0,0,0
"District Judge, 263rd Judicial District",0940,0,0,0,10,0.00%,0,0,0
"District Judge, 263rd Judicial District",0941,9,10,19,25,76.00%,17,2,19
"District Judge, 263rd Judicial District",0942,53,27,80,156,51.28%,66,12,78
"District Judge, 263rd Judicial District",0943,164,80,244,547,44.61%,157,70,227
"District Judge, 263rd Judicial District",0944,20,4,24,45,53.33%,18,1,19
"District Judge, 263rd Judicial District",0945,1,2,3,17,17.65%,1,2,3
"District Judge, 263rd Judicial District",0946,0,1,1,13,7.69%,0,1,1
"District Judge, 263rd Judicial District",0947,177,246,423,799,52.94%,217,183,400
"District Judge, 263rd Judicial District",0948,0,14,14,1,1400.00%,9,2,11
"District Judge, 263rd Judicial District",0949,34,27,61,193,31.61%,32,29,61
"District Judge, 263rd Judicial District",0950,0,0,0,1,0.00%,0,0,0
"District Judge, 263rd Judicial District",0951,33,30,63,277,22.74%,18,43,61
"District Judge, 263rd Judicial District",0952,16,15,31,71,43.66%,15,13,28
"District Judge, 263rd Judicial District",0953,18,9,27,275,9.82%,5,22,27
"District Judge, 263rd Judicial District",0954,0,0,0,1,0.00%,0,0,0
"District Judge, 263rd Judicial District",0955,3,2,5,19,26.32%,4,1,5
"District Judge, 263rd Judicial District",0956,2,4,6,11,54.55%,2,4,6
"District Judge, 263rd Judicial District",0957,97,95,192,562,34.16%,22,167,189
"District Judge, 263rd Judicial District",0958,81,129,210,1081,19.43%,53,151,204
"District Judge, 263rd Judicial District",0959,0,0,0,0,0.00%,0,0,0
"District Judge, 263rd Judicial District",0960,196,157,353,976,36.17%,71,267,338
"District Judge, 263rd Judicial District",0961,15,0,16,56,28.57%,0,15,15
"District Judge, 263rd Judicial District",0962,10,17,27,88,30.68%,3,24,27
"District Judge, 263rd Judicial District",0963,54,41,105,426,24.65%,56,43,99
"District Judge, 263rd Judicial District",0964,568,437,1005,2372,42.37%,612,359,971
"District Judge, 263rd Judicial District",0965,31,21,52,343,15.16%,27,25,52
"District Judge, 263rd Judicial District",0966,129,83,212,1148,18.47%,79,128,207
"District Judge, 263rd Judicial District",0967,15,48,63,165,38.18%,19,43,62
"District Judge, 263rd Judicial District",0968,119,30,149,692,21.53%,30,116,146
"District Judge, 263rd Judicial District",0969,156,73,229,604,37.91%,1,225,226
"District Judge, 263rd Judicial District",0970,83,36,119,731,16.28%,18,97,115
"District Judge, 263rd Judicial District",0971,11,8,19,147,12.93%,1,16,17
"District Judge, 263rd Judicial District",09726,8,14,31,45.16%,13,0,13
"District Judge, 263rd Judicial District",0973,24,19,43,111,38.74%,19,20,39
"District Judge, 263rd Judicial District",0974,57,36,93,299,31.10%,59,32,91
"District Judge, 263rd Judicial District",0975,55,30,85,193,44.04%,39,39,78
"District Judge, 263rd Judicial District",0976,58,62,130,683,19.03%,86,42,128
"District Judge, 263rd Judicial District",0977,50,43,93,572,16.26%,42,51,93
"District Judge, 263rd Judicial District",0978,77,79,156,546,28.57%,29,124,153
"District Judge, 263rd Judicial District",0979,2,6,8,27,29.63%,4,3,7
"District Judge, 263rd Judicial District",0980,280,321,601,1389,43.27%,447,125,572
"District Judge, 263rd Judicial District",0981,0,0,0,0,0.00%,0,0,0
"District Judge, 263rd Judicial District",0982,312,312,624,1567,39.82%,510,89,599
"District Judge, 263rd Judicial District",0983,11,21,32,161,19.88%,20,11,31
"District Judge, 263rd Judicial District",0984,18,9,27,192,14.06%,4,22,26
"District Judge, 263rd Judicial District",0985,117,63,180,351,51.28%,98,70,168
"District Judge, 263rd Judicial District",0986,43,30,73,463,15.77%,12,60,72
"District Judge, 263rd Judicial District",0987,231,90,321,1155,27.79%,28,283,311
"District Judge, 263rd Judicial District",0988,24,12,36,123,29.27%,33,3,36
"District Judge, 263rd Judicial District",09896,6,12,43,27.91%,9,3,12
"District Judge, 263rd Judicial District",0990,16,1,17,140,12.14%,8,8,16
"District Judge, 263rd Judicial District",0991,0,0,0,1,0.00%,0,0,0
"District Judge, 263rd Judicial District",0992,157,107,264,1048,25.19%,144,106,250
"District Judge, 263rd Judicial District",0993,169,101,270,568,47.54%,219,41,260
"District Judge, 263rd Judicial District",0994,5,5,11,25,44.00%,2,9,11
"District Judge, 263rd Judicial District",0995,295,156,451,1393,32.38%,29,413,442
"District Judge, 263rd Judicial District",0996,135,140,275,694,39.63%,159,96,255
"District Judge, 263rd Judicial District",0997,101,163,264,1656,15.94%,58,202,260
"District Judge, 263rd Judicial District",0998,5,1,6,57,10.53%,3,3,6
"District Judge, 263rd Judicial District",0999,17,10,27,68,39.71%,23,3,26
"District Judge, 263rd Judicial District",1000,42,6,48,405,11.85%,13,34,47
"District Judge, 263rd Judicial District",1001,228,136,364,1565,23.26%,96,251,347
"District Judge, 263rd Judicial District",1002,170,139,309,1744,17.72%,54,237,291
"District Judge, 263rd Judicial District",1003,1,0,1,0,0.00%,1,0,1
"District Judge, 263rd Judicial District",1004,111,139,250,654,38.23%,127,106,233
"District Judge, 263rd Judicial District",1005,0,8,8,0,0.00%,3,3,6
"District Judge, 263rd Judicial District",1006,1,0,1,5,20.00%,1,0,1
"District Judge, 263rd Judicial District",1007,208,188,396,1547,25.60%,98,280,378
"District Judge, 263rd Judicial District",1008,32,12,44,151,29.14%,33,9,42
"District Judge, 263rd Judicial District",1009,0,0,0,9,0.00%,0,0,0
"District Judge, 263rd Judicial District",1010,59,35,94,459,20.48%,16,76,92
"District Judge, 263rd Judicial District",1011,8,1,9,26,34.62%,4,4,8
"District Judge, 263rd Judicial District",1012,134,201,335,1365,24.54%,102,224,326
"District Judge, 263rd Judicial District",1013,0,6,6,58,10.34%,3,3,6
"District Judge, 263rd Judicial District",1014,4,6,10,31,32.26%,1,9,10
"District Judge, 263rd Judicial District",1015,5,4,9,25,36.00%,3,5,8
"District Judge, 263rd Judicial District",1016,252,212,464,1691,27.44%,230,215,445
"District Judge, 263rd Judicial District",1017,61,44,105,330,31.82%,31,72,103
"District Judge, 263rd Judicial District",1018,93,64,157,494,31.78%,71,81,152
"District Judge, 263rd Judicial District",1019,130,107,237,1456,16.28%,11,224,235
"District Judge, 263rd Judicial District",1020,0,0,0,1,0.00%,0,0,0
"District Judge, 263rd Judicial District",1021,0,0,0,2,0.00%,0,0,0
"District Judge, 263rd Judicial District",1022,97,79,176,441,39.91%,132,34,166
"District Judge, 263rd Judicial District",1023,430,315,745,2026,36.77%,528,188,716
"District Judge, 263rd Judicial District",1024,55,61,116,249,46.59%,64,42,106
"District Judge, 263rd Judicial District",1025,0,1,1,14,7.14%,1,0,1
"District Judge, 263rd Judicial District",1026,0,0,0,0,0.00%,0,0,0
"District Judge, 263rd Judicial District",1027,1,0,1,8,12.50%,1,0,1
"District Judge, 263rd Judicial District",1028,0,0,0,0,0.00%,0,0,0
"District Judge, 263rd Judicial District",1029,537,719,1256,2927,42.91%,982,226,1208
"District Judge, 263rd Judicial District",1030,231,151,382,785,48.66%,329,45,374
"District Judge, 263rd Judicial District",1031,59,71,130,792,16.41%,33,88,121
"District Judge, 263rd Judicial District",1032,31,25,56,244,22.95%,34,18,52
"District Judge, 263rd Judicial District",1033,0,0,0,0,0.00%,0,0,0
"District Judge, 263rd Judicial District",1034,0,0,0,0,0.00%,0,0,0
"District Judge, 263rd Judicial District",1035,2,4,6,138,4.35%,1,5,6
"District Judge, 263rd Judicial District",1036,65,24,89,449,19.82%,74,14,88
"District Judge, 263rd Judicial District",1037,19,11,30,76,39.47%,16,11,27
"District Judge, 263rd Judicial District",1038,62,6,68,327,20.80%,9,56,65
"District Judge, 263rd Judicial District",1039,2,0,2,25,8.00%,0,2,2
"District Judge, 263rd Judicial District",1040,91,66,157,771,20.36%,73,79,152
"District Judge, 263rd Judicial District",1041,0,2,2,0,0.00%,1,1,2
"District Judge, 263rd Judicial District",1042,105,67,172,521,33.01%,51,113,164
"District Judge, 263rd Judicial District",1043,6,6,12,33,36.36%,4,8,12
"District Judge, 263rd Judicial District",1044,16,6,22,55,40.00%,7,14,21
"District Judge, 263rd Judicial District",1045,197,173,370,1788,20.69%,53,302,355
"District Judge, 263rd Judicial District",1046,11,5,16,62,25.81%,1,15,16
"District Judge, 263rd Judicial District",1047,255,186,441,1568,28.13%,164,265,429
"District Judge, 263rd Judicial District",1048,1,0,1,17,5.88%,1,0,1
"District Judge, 263rd Judicial District",1049,14,45,59,290,20.34%,20,37,57
"District Judge, 263rd Judicial District",1050,60,63,123,537,22.91%,35,84,119
"District Judge, 263rd Judicial District",1051,0,31,31,0,0.00%,19,10,29
"District Judge, 263rd Judicial District",1052,0,0,0,0,0.00%,0,0,0
"District Judge, 263rd Judicial District",1053,0,0,0,0,0.00%,0,0,0
"District Judge, 263rd Judicial District",1054,0,0,0,1,0.00%,0,0,0
"District Judge, 263rd Judicial District",1055,0,0,0,0,0.00%,0,0,0
"District Judge, 263rd Judicial District",1056,4,2,6,8,75.00%,0,5,5
"District Judge, 263rd Judicial District",1057,7,9,16,118,13.56%,3,12,15
"District Judge, 263rd Judicial District",1058,241,285,526,1243,42.32%,106,407,513
